Municipio;Dose;Contagem de Id Vacinacao
MACEDÔNIA;2° Dose;37
MAGDA;1° Dose;157
MAGDA;2° Dose;47
MAIRINQUE;1° Dose;1461
MAIRINQUE;2° Dose;375
MAIRIPORÃ;1° Dose;2534
MAIRIPORÃ;2° Dose;714
MANDURI;1° Dose;291
MANDURI;2° Dose;68
MARABÁ PAULISTA;1° Dose;132
MARABÁ PAULISTA;2° Dose;27
MARACAÍ;1° Dose;418
MARACAÍ;2° Dose;155
MARAPOAMA;1° Dose;161
MARAPOAMA;2° Dose;52
MARIÁPOLIS;1° Dose;130
MARIÁPOLIS;2° Dose;29
MARÍLIA;1° Dose;14424
MARÍLIA;2° Dose;3889
MARINÓPOLIS;1° Dose;128
MARINÓPOLIS;2° Dose;35
MARTINÓPOLIS;1° Dose;870
MARTINÓPOLIS;2° Dose;217
MATÃO;1° Dose;2953
MATÃO;2° Dose;809
MAUÁ;1° Dose;12765
MAUÁ;2° Dose;3408
MENDONÇA;1° Dose;315
MENDONÇA;2° Dose;98
MERIDIANO;1° Dose;187
MERIDIANO;2° Dose;53
MESÓPOLIS;1° Dose;126
MESÓPOLIS;2° Dose;40
MIGUELÓPOLIS;1° Dose;896
MIGUELÓPOLIS;2° Dose;331
MINEIROS DO TIETÊ;1° Dose;352
MINEIROS DO TIETÊ;2° Dose;88
MIRA ESTRELA;1° Dose;145
MIRA ESTRELA;2° Dose;26
MIRACATU;1° Dose;511
MIRACATU;2° Dose;81
MIRANDÓPOLIS;1° Dose;1503
MIRANDÓPOLIS;2° Dose;452
MIRANTE DO PARANAPANEMA;1° Dose;805
MIRANTE DO PARANAPANEMA;2° Dose;205
MIRASSOL;1° Dose;2221
MIRASSOL;2° Dose;574
MIRASSOLÂNDIA;1° Dose;178
MIRASSOLÂNDIA;2° Dose;53
MOCOCA;1° Dose;3221
MOCOCA;2° Dose;1082
MOGI DAS CRUZES;1° Dose;14732
MOGI DAS CRUZES;2° Dose;3259
MOGI GUAÇU;1° Dose;5166
MOGI GUAÇU;2° Dose;1422
MOGI MIRIM;1° Dose;4340
MOGI MIRIM;2° Dose;1079
MOMBUCA;1° Dose;160
MOMBUCA;2° Dose;43
MONÇÕES;1° Dose;145
MONÇÕES;2° Dose;46
MONGAGUÁ;1° Dose;1279
MONGAGUÁ;2° Dose;217
MONTE ALEGRE DO SUL;1° Dose;306
MONTE ALEGRE DO SUL;2° Dose;68
MONTE ALTO;1° Dose;2060
MONTE ALTO;2° Dose;490
MONTE APRAZÍVEL;1° Dose;1066
MONTE APRAZÍVEL;2° Dose;270
MONTE AZUL PAULISTA;1° Dose;824
MONTE AZUL PAULISTA;2° Dose;174
MONTE CASTELO;1° Dose;186
MONTE CASTELO;2° Dose;34
MONTE MOR;1° Dose;1256
MONTE MOR;2° Dose;273
MONTEIRO LOBATO;1° Dose;174
MONTEIRO LOBATO;2° Dose;58
MORRO AGUDO;1° Dose;1250
MORRO AGUDO;2° Dose;441
MORUNGABA;1° Dose;423
MORUNGABA;2° Dose;113
MOTUCA;1° Dose;142
MOTUCA;2° Dose;27
MURUTINGA DO SUL;1° Dose;213
MURUTINGA DO SUL;2° Dose;46
NANTES;1° Dose;101
NANTES;2° Dose;31
NARANDIBA;1° Dose;190
NARANDIBA;2° Dose;44
NATIVIDADE DA SERRA;1° Dose;218
NATIVIDADE DA SERRA;2° Dose;67
NAZARÉ PAULISTA;1° Dose;426
NAZARÉ PAULISTA;2° Dose;108
NEVES PAULISTA;1° Dose;538
NEVES PAULISTA;2° Dose;153
NHANDEARA;1° Dose;557
NHANDEARA;2° Dose;148
NIPOÃ;1° Dose;104
NIPOÃ;2° Dose;31
NOVA ALIANÇA;1° Dose;292
NOVA ALIANÇA;2° Dose;72
NOVA CAMPINA;1° Dose;204
NOVA CAMPINA;2° Dose;61
NOVA CANAÃ PAULISTA;1° Dose;78
NOVA CANAÃ PAULISTA;2° Dose;22
NOVA CASTILHO;1° Dose;55
NOVA CASTILHO;2° Dose;5
NOVA EUROPA;1° Dose;283
NOVA EUROPA;2° Dose;69
NOVA GRANADA;1° Dose;723
NOVA GRANADA;2° Dose;169
NOVA GUATAPORANGA;1° Dose;82
NOVA GUATAPORANGA;2° Dose;21
NOVA INDEPENDÊNCIA;1° Dose;135
NOVA INDEPENDÊNCIA;2° Dose;44
